上海 电信,#genre#
新闻综合,http://222.64.122.116:58888/rtp/239.45.3.209:5140
第一财经,http://222.64.122.116:58888/rtp/239.45.3.211:5140
都市频道,http://222.64.122.116:58888/rtp/239.45.3.236:5140
东方影视,http://222.64.122.116:58888/rtp/239.45.3.237:5140
五星体育,http://222.64.122.116:58888/rtp/239.45.3.210:5140
哈哈炫动,http://222.64.122.116:58888/rtp/239.45.1.55:5140
上海教育,http://222.64.122.116:58888/rtp/239.45.0.13:5140
金色学堂,http://222.64.122.116:58888/rtp/239.45.0.9:5140
东方财经,http://222.64.122.116:58888/rtp/239.45.0.17:5140
法治天地,http://222.64.122.116:58888/rtp/239.45.1.46:5140
乐游,http://222.64.122.116:58888/rtp/239.45.3.135:5140
动漫秀场,http://222.64.122.116:58888/rtp/239.45.3.134:5140
都市剧场,http://222.64.122.116:58888/rtp/239.45.3.136:5140
欢笑剧场,http://222.64.122.116:58888/rtp/239.45.3.196:5140
生活时尚,http://222.64.122.116:58888/rtp/239.45.3.132:5140
游戏风云,http://222.64.122.116:58888/rtp/239.45.3.131:5140

更新时间,#genre#
2025-02-12,url
17:17:41,url
