上海 电信,#genre#
新闻综合,['http://116.227.100.73:9200']/rtp/239.45.3.209:5140
东方卫视,['http://116.227.100.73:9200']/rtp/239.45.3.146:5140
都市频道,['http://116.227.100.73:9200']/rtp/239.45.3.236:5140
纪实人文,['http://116.227.100.73:9200']/rtp/239.45.3.212:5140
东方影视,['http://116.227.100.73:9200']/rtp/239.45.3.237:5140
第一财经,['http://116.227.100.73:9200']/rtp/239.45.3.211:5140
五星体育,['http://116.227.100.73:9200']/rtp/239.45.3.210:5140
哈哈炫动,['http://116.227.100.73:9200']/rtp/239.45.1.55:5140
上视外语,['http://116.227.100.73:9200']/rtp/239.45.1.127:5140
都市剧场,['http://116.227.100.73:9200']/rtp/239.45.3.136:5140
欢笑剧场,['http://116.227.100.73:9200']/rtp/239.45.3.196:5140
全纪实,['http://116.227.100.73:9200']/rtp/239.45.3.135:5140
